Origen,Destino,ConexionAeropuertos
Saudi Arabia,Malaysia,14
Saudi Arabia,Yemen,31
Saudi Arabia,Indonesia,28
Saudi Arabia,Iran,24
Saudi Arabia,South Korea,2
Saudi Arabia,Lebanon,13
Saudi Arabia,Qatar,18
Saudi Arabia,Sri Lanka,20
Saudi Arabia,Pakistan,109
Saudi Arabia,Philippines,11
Saudi Arabia,Jordan,22
Saudi Arabia,Singapore,8
Saudi Arabia,China,4
Saudi Arabia,United States,10
Saudi Arabia,Oman,18
Saudi Arabia,Eritrea,2
Saudi Arabia,Nepal,1
Saudi Arabia,Iraq,2
Saudi Arabia,Maldives,3
Saudi Arabia,Georgia,2
Saudi Arabia,Azerbaijan,1
Iran,Tajikistan,6
Iran,Belarus,2
Iran,China,10
Iran,United Arab Emirates,57
Iran,Kuwait,28
Iran,Armenia,3
Iran,Iraq,35
Iran,Oman,11
Iran,Lebanon,4
Iran,India,5
Iran,Qatar,12
Iran,Azerbaijan,6
Iran,Pakistan,8
Iran,Malaysia,4
Iran,Uzbekistan,2
Iran,Russia,7
Iran,Kazakhstan,2
Iran,Thailand,2
Iran,Syria,1
Iran,Georgia,4
Iran,Ukraine,1
Iran,Hong Kong,1
Jordan,United States,14
Jordan,United Arab Emirates,19
Jordan,Yemen,10
Jordan,Lebanon,6
Jordan,Kuwait,7
Jordan,Thailand,4
Jordan,Qatar,4
Jordan,Iraq,25
Jordan,India,4
Jordan,Russia,4
Jordan,Ukraine,4
Jordan,Oman,4
Jordan,Georgia,1
Jordan,Lithuania,1
Kuwait,United Arab Emirates,27
Kuwait,India,38
Kuwait,Bangladesh,6
Kuwait,Qatar,6
Kuwait,Yemen,4
Kuwait,Lebanon,6
Kuwait,Iraq,5
Kuwait,Thailand,2
Kuwait,Sri Lanka,6
Kuwait,Pakistan,13
Kuwait,United States,4
Kuwait,Malaysia,2
Kuwait,Oman,5
Kuwait,Syria,2
Kuwait,Azerbaijan,3
Kuwait,Georgia,1
Kuwait,Philippines,1
Lebanon,Belarus,2
Lebanon,United Arab Emirates,13
Lebanon,Yemen,2
Lebanon,Iraq,20
Lebanon,Qatar,4
Lebanon,Armenia,3
Lebanon,Russia,4
Lebanon,Oman,2
United Arab Emirates,Philippines,16
United Arab Emirates,Djibouti,5
United Arab Emirates,Bangladesh,25
United Arab Emirates,India,251
United Arab Emirates,Tajikistan,6
United Arab Emirates,Sri Lanka,25
United Arab Emirates,United States,54
United Arab Emirates,Pakistan,127
United Arab Emirates,Oman,48
United Arab Emirates,Thailand,19
United Arab Emirates,China,45
United Arab Emirates,Singapore,24
United Arab Emirates,Indonesia,11
United Arab Emirates,Malaysia,16
United Arab Emirates,Australia,33
United Arab Emirates,Maldives,8
United Arab Emirates,Belarus,4
United Arab Emirates,Qatar,21
United Arab Emirates,Brunei,3
United Arab Emirates,Hong Kong,14
United Arab Emirates,Iraq,34
United Arab Emirates,Russia,90
United Arab Emirates,Brazil,6
United Arab Emirates,Japan,16
United Arab Emirates,South Korea,10
United Arab Emirates,Ukraine,22
United Arab Emirates,Yemen,23
United Arab Emirates,Vietnam,8
United Arab Emirates,Taiwan,4
United Arab Emirates,Kazakhstan,18
United Arab Emirates,Nepal,10
United Arab Emirates,Turkmenistan,5
United Arab Emirates,Armenia,4
United Arab Emirates,Kyrgyzstan,3
United Arab Emirates,Azerbaijan,8
United Arab Emirates,Georgia,4
United Arab Emirates,Uzbekistan,5
United Arab Emirates,Syria,6
United Arab Emirates,Latvia,1
United Arab Emirates,Eritrea,2
United Arab Emirates,Burma,1
Oman,Bangladesh,13
Oman,India,55
Oman,Qatar,15
Oman,Malaysia,4
Oman,Sri Lanka,7
Oman,Pakistan,33
Oman,Thailand,2
Oman,Nepal,3
Oman,Maldives,2
Oman,Syria,1
Oman,China,1
Oman,Indonesia,1
Oman,Russia,1
Oman,Philippines,1
Oman,Vietnam,1
Pakistan,China,15
Pakistan,Thailand,8
Pakistan,Sri Lanka,6
Pakistan,India,6
Pakistan,Bangladesh,2
Pakistan,Qatar,18
Pakistan,United States,1
Pakistan,Nepal,2
Pakistan,Malaysia,7
Pakistan,Uzbekistan,1
Pakistan,Iraq,1
Iraq,Qatar,10
Iraq,Georgia,4
Iraq,Syria,6
Iraq,India,8
Iraq,China,1
Iraq,Azerbaijan,7
Iraq,Ukraine,1
Iraq,Malaysia,1
Iraq,Belarus,1
Iraq,Russia,1
Iraq,Armenia,4
Syria,Armenia,1
Syria,Qatar,1
Qatar,India,50
Qatar,United States,36
Qatar,Bangladesh,8
Qatar,Hong Kong,4
Qatar,Yemen,5
Qatar,Azerbaijan,4
Qatar,Japan,14
Qatar,Malaysia,6
Qatar,South Korea,4
Qatar,Philippines,10
Qatar,Thailand,8
Qatar,China,12
Qatar,Indonesia,4
Qatar,Sri Lanka,4
Qatar,Russia,4
Qatar,Brazil,3
Qatar,Nepal,5
Qatar,Australia,10
Qatar,Maldives,2
Qatar,Burma,2
Qatar,Vietnam,6
Qatar,Singapore,2
Qatar,Armenia,2
Qatar,Djibouti,2
Qatar,Ukraine,2
Qatar,Georgia,2
Qatar,Namibia,2
Qatar,Macau,1
Qatar,Cambodia,2
Qatar,Kazakhstan,1
Northern Mariana Islands,China,7
Northern Mariana Islands,Japan,6
Northern Mariana Islands,South Korea,7
Northern Mariana Islands,Guam,4
Northern Mariana Islands,Hong Kong,1
Guam,South Korea,16
Guam,Taiwan,6
Guam,Japan,40
Guam,Philippines,5
Guam,Australia,2
Guam,Hong Kong,2
Guam,United States,6
Guam,Palau,2
Guam,Micronesia,4
Guam,China,2
Marshall Islands,Nauru,2
Marshall Islands,United States,2
Marshall Islands,Micronesia,7
Micronesia,Palau,2
Palau,Japan,5
Palau,Taiwan,4
Palau,South Korea,4
Palau,Philippines,2
Palau,Macau,1
Taiwan,Japan,218
Taiwan,Singapore,19
Taiwan,China,470
Taiwan,Philippines,30
Taiwan,Vietnam,41
Taiwan,Hong Kong,32
Taiwan,South Korea,71
Taiwan,Malaysia,19
Taiwan,India,5
Taiwan,Thailand,27
Taiwan,Australia,8
Taiwan,Indonesia,15
Taiwan,United States,41
Taiwan,Macau,23
Taiwan,Cambodia,7
Taiwan,Burma,2
Taiwan,Brunei,1
Japan,Philippines,44
Japan,South Korea,299
Japan,China,469
Japan,India,12
Japan,Thailand,63
Japan,United States,210
Japan,Vietnam,48
Japan,Hong Kong,88
Japan,Malaysia,26
Japan,Singapore,45
Japan,Indonesia,28
Japan,Uzbekistan,3
Japan,Russia,30
Japan,Australia,48
Japan,Macau,13
Japan,Burma,2
Japan,Mongolia,2
Japan,Sri Lanka,2
Japan,Brunei,1
Japan,Kazakhstan,1
Japan,Cambodia,2
South Korea,China,389
South Korea,Philippines,76
South Korea,Thailand,50
South Korea,Hong Kong,41
South Korea,Burma,6
South Korea,United States,86
South Korea,India,8
South Korea,Singapore,15
South Korea,Macau,16
South Korea,Cambodia,18
South Korea,Malaysia,31
South Korea,Indonesia,12
South Korea,Uzbekistan,7
South Korea,Russia,48
South Korea,Kazakhstan,5
South Korea,Australia,12
South Korea,Sri Lanka,4
South Korea,Vietnam,82
South Korea,Nepal,2
South Korea,Mongolia,9
South Korea,Laos,8
South Korea,Brunei,1
Philippines,Singapore,38
Philippines,Malaysia,21
Philippines,Thailand,16
Philippines,Brunei,4
Philippines,China,68
Philippines,Hong Kong,35
Philippines,Indonesia,13
Philippines,Macau,12
Philippines,Vietnam,10
Philippines,Cambodia,3
Philippines,Australia,11
Philippines,United States,7
Argentina,United States,28
Argentina,Uruguay,25
Argentina,Chile,35
Argentina,Paraguay,18
Argentina,Brazil,114
Argentina,Colombia,4
Argentina,Venezuela,5
Argentina,Peru,17
Argentina,Bolivia,6
Argentina,Ecuador,4
Brazil,Uruguay,31
Brazil,United States,148
Brazil,Colombia,10
Brazil,Peru,29
Brazil,Ecuador,4
Brazil,Paraguay,16
Brazil,Barbados,2
Brazil,Venezuela,8
Brazil,Bolivia,8
Brazil,Chile,31
Brazil,French Guiana,4
Brazil,Suriname,4
Chile,Uruguay,5
Chile,United States,26
Chile,Peru,22
Chile,Colombia,4
Chile,Bolivia,11
Chile,Paraguay,5
Chile,Venezuela,3
Chile,Ecuador,5
Chile,Australia,6
Ecuador,Colombia,25
Ecuador,United States,35
Ecuador,Peru,12
Ecuador,Venezuela,5
Paraguay,Uruguay,5
Paraguay,United States,4
Paraguay,Peru,4
Paraguay,Bolivia,4
Colombia,Netherlands Antilles,7
Colombia,United States,125
Colombia,Aruba,6
Colombia,Venezuela,17
Colombia,Peru,18
Colombia,Bolivia,4
Colombia,Puerto Rico,2
Colombia,Uruguay,2
Bolivia,United States,5
Bolivia,Peru,19
Suriname,Netherlands Antilles,3
Suriname,Trinidad and Tobago,6
Suriname,Aruba,2
Suriname,French Guiana,2
Suriname,Guyana,2
French Guiana,Martinique,4
Peru,United States,45
Peru,Venezuela,6
Peru,Uruguay,4
Uruguay,United States,4
Venezuela,Aruba,25
Venezuela,Netherlands Antilles,16
Venezuela,United States,19
Venezuela,Puerto Rico,2
Venezuela,Trinidad and Tobago,5
Venezuela,Guyana,2
Venezuela,Grenada,2
Guyana,United States,8
Guyana,Trinidad and Tobago,3
Guyana,Barbados,2
Guyana,Puerto Rico,1
Antigua and Barbuda,Guadeloupe,4
Antigua and Barbuda,Saint Kitts and Nevis,9
Antigua and Barbuda,United States,18
Antigua and Barbuda,Trinidad and Tobago,5
Antigua and Barbuda,Barbados,4
Antigua and Barbuda,Anguilla,2
Antigua and Barbuda,Dominica,2
Antigua and Barbuda,Puerto Rico,3
Antigua and Barbuda,Saint Lucia,4
Antigua and Barbuda,Netherlands Antilles,3
Antigua and Barbuda,Montserrat,1
Antigua and Barbuda,British Virgin Islands,1
Antigua and Barbuda,Virgin Islands,1
Antigua and Barbuda,Grenada,2
Barbados,United States,10
Barbados,Trinidad and Tobago,4
Barbados,Netherlands Antilles,2
Barbados,Saint Lucia,3
Barbados,Dominica,2
Barbados,Martinique,3
Barbados,Grenada,2
Barbados,Saint Vincent and the Grenadines,2
Barbados,Guadeloupe,1
Dominica,Guadeloupe,6
Dominica,Netherlands Antilles,9
Dominica,Puerto Rico,8
Dominica,Saint Vincent and the Grenadines,1
Dominica,Saint Lucia,2
Dominica,British Virgin Islands,5
Dominica,Virgin Islands,2
Martinique,Guadeloupe,11
Martinique,Saint Lucia,9
Martinique,United States,4
Martinique,Puerto Rico,4
Guadeloupe,Netherlands Antilles,2
Guadeloupe,United States,6
Guadeloupe,Puerto Rico,4
Grenada,United States,11
Grenada,Saint Lucia,5
Grenada,Trinidad and Tobago,6
Grenada,Saint Vincent and the Grenadines,2
Virgin Islands,British Virgin Islands,8
Virgin Islands,Puerto Rico,17
Virgin Islands,United States,47
Virgin Islands,Anguilla,2
Virgin Islands,Netherlands Antilles,6
Virgin Islands,Saint Kitts and Nevis,2
Puerto Rico,Anguilla,5
Puerto Rico,British Virgin Islands,14
Puerto Rico,Saint Kitts and Nevis,9
Puerto Rico,United States,119
Puerto Rico,Netherlands Antilles,7
Saint Kitts and Nevis,United States,13
Saint Kitts and Nevis,Netherlands Antilles,7
Saint Kitts and Nevis,British Virgin Islands,2
Saint Lucia,United States,20
Saint Lucia,Trinidad and Tobago,10
Saint Lucia,Saint Vincent and the Grenadines,2
Saint Lucia,Netherlands Antilles,1
Aruba,Netherlands Antilles,12
Aruba,United States,56
Netherlands Antilles,United States,53
Netherlands Antilles,Trinidad and Tobago,8
Netherlands Antilles,British Virgin Islands,9
Netherlands Antilles,Anguilla,4
Trinidad and Tobago,United States,22
Trinidad and Tobago,Saint Vincent and the Grenadines,3
Saint Vincent and the Grenadines,United States,3
Kazakhstan,Tajikistan,10
Kazakhstan,Russia,107
Kazakhstan,Belarus,3
Kazakhstan,China,19
Kazakhstan,Armenia,3
Kazakhstan,Azerbaijan,9
Kazakhstan,Georgia,5
Kazakhstan,Uzbekistan,8
Kazakhstan,Thailand,2
Kazakhstan,India,2
Kazakhstan,Kyrgyzstan,8
Kazakhstan,Hong Kong,3
Kazakhstan,Ukraine,8
Kazakhstan,Malaysia,2
Kazakhstan,Vietnam,2
Kazakhstan,Lithuania,1
Kazakhstan,Mongolia,1
Kazakhstan,Turkmenistan,1
Kyrgyzstan,Tajikistan,4
Kyrgyzstan,Russia,111
Kyrgyzstan,China,14
Kyrgyzstan,Uzbekistan,4
Kyrgyzstan,Mongolia,2
Azerbaijan,Russia,51
Azerbaijan,Belarus,2
Azerbaijan,Latvia,4
Azerbaijan,China,4
Azerbaijan,Uzbekistan,3
Azerbaijan,Ukraine,8
Azerbaijan,Georgia,5
Azerbaijan,Turkmenistan,4
Azerbaijan,India,1
Azerbaijan,United States,1
Russia,Uzbekistan,210
Russia,Armenia,71
Russia,Tajikistan,165
Russia,Georgia,25
Russia,Belarus,30
Russia,Latvia,19
Russia,China,134
Russia,Thailand,40
Russia,Hong Kong,22
Russia,United States,26
Russia,North Korea,2
Russia,Ukraine,93
Russia,Mongolia,6
Russia,Turkmenistan,6
Russia,Singapore,4
Russia,India,4
Russia,Vietnam,20
Russia,Maldives,4
Russia,Lithuania,8
Russia,Sri Lanka,5
Russia,Indonesia,3
Ukraine,Belarus,9
Ukraine,Latvia,6
Ukraine,Uzbekistan,2
Ukraine,Georgia,18
Ukraine,Thailand,2
Ukraine,Armenia,4
Ukraine,United States,2
Ukraine,Lithuania,7
Ukraine,Sri Lanka,1
Ukraine,India,1
Ukraine,China,1
Belarus,Turkmenistan,3
Belarus,Georgia,6
Belarus,Armenia,2
Belarus,Latvia,4
Belarus,Lithuania,2
Belarus,China,1
Belarus,Uzbekistan,1
Turkmenistan,China,4
Turkmenistan,India,4
Turkmenistan,Thailand,1
Turkmenistan,Malaysia,1
Turkmenistan,Bangladesh,1
Tajikistan,India,2
Tajikistan,China,8
Tajikistan,Uzbekistan,2
Uzbekistan,Latvia,4
Uzbekistan,China,8
Uzbekistan,India,5
Uzbekistan,Thailand,2
Uzbekistan,Malaysia,4
Uzbekistan,Singapore,4
Uzbekistan,Indonesia,1
Uzbekistan,United States,1
Uzbekistan,Georgia,1
India,Bangladesh,35
India,Thailand,81
India,Nepal,21
India,Singapore,96
India,Malaysia,58
India,Sri Lanka,59
India,Hong Kong,36
India,United States,24
India,Burma,6
India,Australia,4
India,China,24
India,Maldives,14
India,Yemen,3
India,Bhutan,9
India,Vietnam,6
India,Indonesia,3
India,Cambodia,1
Sri Lanka,Maldives,30
Sri Lanka,Thailand,9
Sri Lanka,Singapore,12
Sri Lanka,Malaysia,10
Sri Lanka,Indonesia,4
Sri Lanka,Bangladesh,4
Sri Lanka,China,16
Sri Lanka,Hong Kong,4
Sri Lanka,Australia,4
Sri Lanka,Vietnam,2
Cambodia,Singapore,17
Cambodia,Burma,2
Cambodia,China,99
Cambodia,Vietnam,35
Cambodia,Malaysia,12
Cambodia,Thailand,28
Cambodia,Hong Kong,10
Cambodia,Laos,10
Cambodia,Macau,6
Cambodia,Indonesia,2
Bangladesh,Thailand,16
Bangladesh,Nepal,9
Bangladesh,Malaysia,14
Bangladesh,Hong Kong,7
Bangladesh,Burma,2
Bangladesh,Singapore,9
Bangladesh,China,5
Bangladesh,Bhutan,2
Bangladesh,Vietnam,3
Hong Kong,Singapore,19
Hong Kong,China,260
Hong Kong,United States,45
Hong Kong,Malaysia,25
Hong Kong,Australia,33
Hong Kong,Brunei,4
Hong Kong,Indonesia,21
Hong Kong,Thailand,63
Hong Kong,Vietnam,30
Hong Kong,Maldives,5
Hong Kong,Burma,6
Hong Kong,Mongolia,5
Hong Kong,Nepal,5
Laos,Thailand,28
Laos,Malaysia,2
Laos,China,25
Laos,Vietnam,12
Laos,Singapore,5
Macau,China,122
Macau,Malaysia,3
Macau,Thailand,9
Macau,Vietnam,7
Macau,Singapore,2
Macau,North Korea,1
Nepal,China,11
Nepal,Malaysia,8
Nepal,Bhutan,3
Nepal,Singapore,4
Nepal,Thailand,5
Bhutan,Thailand,1
Maldives,China,11
Maldives,Malaysia,3
Maldives,Thailand,4
Maldives,Singapore,6
Thailand,Singapore,61
Thailand,China,344
Thailand,Burma,34
Thailand,Malaysia,80
Thailand,Brunei,4
Thailand,Australia,29
Thailand,Indonesia,20
Thailand,Vietnam,42
Thailand,Mongolia,2
Vietnam,Singapore,34
Vietnam,China,139
Vietnam,Malaysia,28
Vietnam,Australia,14
Vietnam,Indonesia,6
Vietnam,Burma,5
Vietnam,Brunei,1
Burma,Singapore,15
Burma,China,65
Burma,Malaysia,7
Burma,Myanmar,3
Indonesia,Malaysia,133
Indonesia,Brunei,9
Indonesia,China,60
Indonesia,Singapore,139
Indonesia,Australia,67
Indonesia,East Timor,5
Indonesia,United States,13
Malaysia,Singapore,97
Malaysia,China,105
Malaysia,Brunei,20
Malaysia,Australia,31
Malaysia,North Korea,2
Brunei,Australia,2
Brunei,China,7
Brunei,Singapore,4
East Timor,Singapore,2
East Timor,Australia,4
Singapore,Australia,94
Singapore,China,138
Singapore,United States,12
Australia,China,76
Australia,United States,64
Australia,Solomon Islands,5
Australia,Norfolk Island,4
Australia,Nauru,2
Australia,Christmas Island,4
Australia,Cocos (Keeling) Islands,2
Christmas Island,Cocos (Keeling) Islands,2
China,United States,177
China,North Korea,7
China,Mongolia,12
China,Georgia,2
United States,Bermuda,25
United States,Latvia,2
Latvia,Georgia,5
Latvia,Lithuania,4
Lithuania,Georgia,2
Armenia,Georgia,1
Eritrea,Yemen,4
Yemen,Djibouti,5
Solomon Islands,Nauru,1
